event_id,split_group,label,reviewed,reviewer,source_reference,is_demo,mean_frp,max_frp,mean_brightness,max_brightness,quality_mean,duration_hours,detection_count,night_fraction,spatial_spread_km,persistence_days,detection_frequency,recurrence_count,historical_mean_frp,historical_max_frp,historical_std_frp,historical_baseline_available,distance_to_industrial_m,distance_to_refinery_m,distance_to_powerplant_m,distance_to_factory_m,distance_to_forest_m,distance_to_farmland_m,distance_to_residential_m,nearby_industrial_count,nearby_facility_count,ndvi,vegetation_fraction,built_up_fraction,landuse_industrial,landuse_forest,landuse_farmland,source_counts,sensor_provenance,viirs_detection_count,modis_detection_count,unique_satellite_count,unique_sensor_count,viirs_primary_mean,viirs_secondary_mean,modis_primary_mean,modis_secondary_mean,scan_mean,track_mean,viirs_snpp_count,viirs_noaa20_count,viirs_noaa21_count,modis_count,independent_detection_count,nrt_sp_representation_count,unique_instrument_count,viirs_frp_mean,viirs_frp_max,modis_frp_mean,modis_frp_max,day_detection_fraction,night_detection_fraction,cross_sensor_confirmed,viirs_primary_thermal_mean,viirs_secondary_thermal_mean,modis_primary_thermal_mean,modis_secondary_thermal_mean,reviewed_at,review_notes
TG-firms-067b7987b61e0a46c33d,angul_talcher_sep_2026,industrial_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.38,1.38,300.22,300.22,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,,,,,,,,,,,,"{""VIIRS_SNPP_NRT"": 1}","[{""count"": 1, ""first_acquired_at"": ""2026-09-05T20:46:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-09-05T20:46:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",1,0,1,1,,,,,,,1,0,0,0,1,0,1,1.38,1.38,,,0.0,1.0,False,300.22,276.32,,,,
TG-firms-12a727a697efdb9146a2,hazira_sep_2026,persistent_industrial_thermal_source,true,PRAGYAX_review,"NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM/facility verification at 21.1040267,72.6437133 ; repeated FIRMS detections verified from project historical data",false,9.92,16.7,343.17,348.07,0.3333333333333333,0.0,3.0,0.0,0.8443408203094106,1.0,3.0,10.0,4.11260606060606,15.08,3.217551050151431,1.0,0.0,,1141.1,0.0,,3549.8,89.9,8.0,13.0,0.1881,,,1.0,0.0,0.0,"{""VIIRS_SNPP_NRT"": 3}","[{""count"": 3, ""first_acquired_at"": ""2026-09-10T08:24:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-09-10T08:24:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",3,0,1,1,,,,,,,3,0,0,0,3,0,1,9.92,16.7,,,1.0,0.0,False,343.17,304.84,,,,
TG-firms-149619809c5dd05c7d30,chandrapur_sep_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,8.2775,13.54,335.7575,340.92,0.375,23.716666666666665,4.0,0.0,0.751974307821665,2.0,0.16865776528461,4.0,,,,0.0,30.8,,1390.6,30.8,,3541.5,8.1,8.0,13.0,,,,,,,"{""VIIRS_SNPP_NRT"": 4}","[{""count"": 4, ""first_acquired_at"": ""2026-08-19T08:35:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-08-20T08:18:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",4,0,1,1,,,,,,,4,0,0,0,4,0,1,8.2775,13.54,,,1.0,0.0,False,335.7575,295.6075,,,,
TG-firms-17a1d9abb72d51592396,korba_aug_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,11.753333333333332,15.08,340.06333333333333,343.75,0.5,0.0,3.0,0.0,0.5981243113294894,1.0,3.0,0.0,,,,0.0,0.0,,1219.5,0.0,,3439.9,144.4,8.0,13.0,0.1397,,,1.0,0.0,0.0,"{""VIIRS_SNPP_NRT"": 3}","[{""count"": 3, ""first_acquired_at"": ""2026-08-05T07:58:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-08-05T07:58:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",3,0,1,1,,,,,,,3,0,0,0,3,0,1,11.753333333333334,15.08,,,1.0,0.0,False,340.06333333333333,291.46333333333337,,,,
TG-firms-1a552a72d32d2aa6ff08,angul_talcher_sep_2026,possible_false_positive,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.9216666666666666,3.59,302.11333333333334,309.48,0.5,0.0,12.0,1.0,2.001257034955021,1.0,12.0,1.0,,,,0.0,,,,,,,,,,,,,,,,"{""VIIRS_SNPP_NRT"": 12}","[{""count"": 12, ""first_acquired_at"": ""2026-09-08T19:49:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-09-08T19:49:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",12,0,1,1,,,,,,,12,0,0,0,12,0,1,1.9216666666666666,3.59,,,0.0,1.0,False,302.11333333333334,272.5875,,,,
TG-firms-1a74190a4abd22ccee76,angul_talcher_sep_2026,persistent_industrial_thermal_source,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,2.924090909090909,6.38,318.9190909090909,345.88,0.5,12.466666666666667,22.0,0.7272727272727273,3.7044705545573224,1.0,1.7647058823529411,0.0,,,,0.0,,,,,,,,,,,,,,,,"{""VIIRS_SNPP_NRT"": 22}","[{""count"": 22, ""first_acquired_at"": ""2026-09-05T08:18:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-09-05T20:46:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",22,0,1,1,,,,,,,22,0,0,0,22,0,1,2.924090909090909,6.38,,,0.2727272727272727,0.7272727272727273,False,318.9190909090909,289.6981818181818,,,,
TG-firms-1db92e3022a519047ae3,punjab_sep_2026,industrial_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,2.1125,3.3,304.36125,314.08,0.5,1.6666666666666667,8.0,1.0,0.8670217782966271,1.0,4.8,5.0,5.546666666666667,15.08,3.8228961897725884,1.0,0.0,,1368.2,0.0,,3226.8,363.5,8.0,13.0,,,,1.0,0.0,0.0,"{""VIIRS_SNPP_NRT"": 8}","[{""count"": 8, ""first_acquired_at"": ""2026-08-22T20:10:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-08-22T21:50:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",8,0,1,1,,,,,,,8,0,0,0,8,0,1,2.1125,3.3,,,0.0,1.0,False,304.36125,279.595,,,,
TG-firms-26858cf89050b31e6519,angul_talcher_aug_2026,persistent_industrial_thermal_source,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,2.4074999999999998,5.89,310.3525,330.75,0.5,23.683333333333334,4.0,1.0,0.6450060429379941,2.0,0.1688951442646024,9.0,4.302062289562289,15.08,3.3382616560981657,1.0,0.0,,1396.7,0.0,,3466.4,82.0,8.0,13.0,0.149,,,1.0,0.0,0.0,"{""VIIRS_SNPP_NRT"": 4}","[{""count"": 4, ""first_acquired_at"": ""2026-08-30T20:59:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-08-31T20:40:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",4,0,1,1,,,,,,,4,0,0,0,4,0,1,2.4074999999999998,5.89,,,0.0,1.0,False,310.3525,284.1025,,,,
TG-firms-28cdedb033f322e8c576,angul_talcher_sep_2026,possible_false_positive,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; project FIRMS observation and stored geospatial context reviewed,false,1.3824999999999998,1.96,300.4225,306.75,0.5,0.0,4.0,1.0,0.4250740852531128,1.0,4.0,3.0,,,,0.0,,,,,,,,,,,,,,,,"{""VIIRS_SNPP_NRT"": 4}","[{""count"": 4, ""first_acquired_at"": ""2026-09-08T19:49:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-09-08T19:49:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",4,0,1,1,,,,,,,4,0,0,0,4,0,1,1.3824999999999998,1.96,,,0.0,1.0,False,300.4225,270.63,,,,
TG-firms-2cccb1d15213eca9a6c1,jamnagar_aug_2026,agricultural_vegetation_fire,true,PRAGYAX_review,NASA FIRMS: https://firms.modaps.eosdis.nasa.gov/map/index.html ; OSM industrial context verified at <coordinates>; repeated FIRMS observations verified from ThermaGuard historical data,false,2.5925000000000002,3.24,306.9625,310.48,0.5,0.0,4.0,1.0,0.39916763257439397,1.0,4.0,0.0,,,,0.0,,,,,,,,,,,,,,,,"{""VIIRS_SNPP_NRT"": 4}","[{""count"": 4, ""first_acquired_at"": ""2026-08-10T20:34:00+00:00"", ""instrument"": ""VIIRS"", ""last_acquired_at"": ""2026-08-10T20:34:00+00:00"", ""satellite"": ""N"", ""source_dataset"": ""VIIRS_SNPP_NRT"", ""version"": ""2.0NRT""}]",4,0,1,1,,,,,,,4,0,0,0,4,0,1,2.5925000000000002,3.24,,,0.0,1.0,False,306.9625,286.31,,,,
